Price,Date,Close,High,Low,Open,Volume
Ticker,,^CNX100,^CNX100,^CNX100,^CNX100,^CNX100
24,2020-02-04,12091.0,12099.349609375,11898.900390625,11900.0498046875,9029600
25,2020-02-05,12212.0,12219.9501953125,12071.900390625,12121.0498046875,10961100
26,2020-02-06,12273.7001953125,12295.2001953125,12211.599609375,12243.9501953125,10135600
27,2020-02-07,12249.25,12290.150390625,12223.7001953125,12286.849609375,8399800
28,2020-02-10,12185.349609375,12254.9501953125,12144.0498046875,12253.9501953125,8278500
29,2020-02-11,12246.2001953125,12317.7001953125,12237.7998046875,12260.2001953125,8266400
30,2020-02-12,12327.7001953125,12362.0,12282.2001953125,12288.150390625,9317200
31,2020-02-13,12301.75,12347.099609375,12266.25,12342.25,7942100
32,2020-02-14,12230.4501953125,12369.400390625,12210.0498046875,12314.25,22140600
33,2020-02-17,12152.0,12271.7001953125,12143.5,12247.2001953125,0
34,2020-02-18,12098.900390625,12134.4501953125,12009.5498046875,12133.599609375,15241200
35,2020-02-19,12248.2001953125,12256.2001953125,12155.25,12197.900390625,17176500
36,2020-02-20,12211.2998046875,12288.900390625,12202.75,12242.25,17242600
37,2020-02-24,11957.0,12140.4501953125,11939.5498046875,12140.4501953125,13946100
38,2020-02-25,11917.2998046875,12018.4501953125,11900.599609375,12007.2998046875,12778400
39,2020-02-26,11790.099609375,11902.150390625,11756.650390625,11859.099609375,11037100
40,2020-02-27,11746.849609375,11776.099609375,11646.0498046875,11773.9501953125,12434900
41,2020-02-28,11316.2998046875,11497.900390625,11288.400390625,11495.599609375,15459600
42,2020-03-02,11251.5498046875,11560.150390625,11153.650390625,11500.849609375,12491400
43,2020-03-03,11430.849609375,11471.099609375,11279.5498046875,11337.4501953125,12790000
44,2020-03-04,11372.849609375,11485.5,11205.9501953125,11481.5498046875,12745300
45,2020-03-05,11397.900390625,11515.5498046875,11371.5,11430.099609375,19540400
46,2020-03-06,11119.650390625,11163.0,10957.400390625,11061.849609375,23935700
47,2020-03-09,10583.0498046875,10886.2998046875,10442.150390625,10877.5,25474600
48,2020-03-11,10578.0,10673.25,10475.099609375,10476.650390625,22265800
49,2020-03-12,9693.9501953125,10160.75,9614.5498046875,10160.0498046875,25312200
50,2020-03-13,10050.25,10248.0,8642.2001953125,9177.2998046875,32106900
51,2020-03-16,9316.9501953125,9728.099609375,9281.75,9684.7998046875,25099600
52,2020-03-17,9105.400390625,9531.9501953125,9056.349609375,9395.099609375,19167300
53,2020-03-18,8607.9501953125,9265.2998046875,8552.25,9228.7998046875,41132400
54,2020-03-19,8388.7001953125,8703.849609375,7964.39990234375,8198.2001953125,19648400
55,2020-03-20,8852.0498046875,8995.349609375,8305.0,8417.5498046875,20040800
56,2020-03-23,7719.10009765625,8272.349609375,7694.2001953125,8057.35009765625,12283400
57,2020-03-24,7897.39990234375,8133.89990234375,7624.85009765625,7942.25,13175900
58,2020-03-25,8388.2001953125,8442.7998046875,7815.0,7827.5,11569400
59,2020-03-26,8732.099609375,8832.25,8382.849609375,8523.099609375,14235800
60,2020-03-27,8747.0498046875,9135.849609375,8614.349609375,9032.4501953125,13094800
61,2020-03-30,8405.2998046875,8683.150390625,8368.7998046875,8487.150390625,8925900
62,2020-03-31,8731.150390625,8805.9501953125,8483.400390625,8652.650390625,11070400
63,2020-04-01,8404.150390625,8725.7001953125,8351.75,8722.099609375,9097700
64,2020-04-03,8240.2001953125,8497.75,8213.25,8497.75,11352200
65,2020-04-07,8934.599609375,8958.9501953125,8508.150390625,8595.7001953125,12782400
66,2020-04-08,8921.2998046875,9288.349609375,8806.849609375,8842.599609375,14508300
67,2020-04-09,9282.849609375,9300.0498046875,9088.0,9144.099609375,11876600
68,2020-04-13,9177.7001953125,9282.9501953125,9080.2001953125,9276.2001953125,17382500
69,2020-04-15,9128.25,9449.349609375,9072.900390625,9366.099609375,19553300
70,2020-04-16,9197.099609375,9258.0498046875,9020.5498046875,9057.5498046875,14697600
71,2020-04-17,9453.5,9523.599609375,9283.5498046875,9523.150390625,16825200
72,2020-04-20,9442.599609375,9574.2001953125,9416.849609375,9573.75,13846400
73,2020-04-21,9175.650390625,9237.400390625,9107.900390625,9202.900390625,12297300
74,2020-04-22,9372.2998046875,9388.2998046875,9130.849609375,9215.5498046875,14735900
75,2020-04-23,9486.7001953125,9521.5498046875,9365.599609375,9419.0,15979200
76,2020-04-24,9323.7001953125,9463.4501953125,9312.150390625,9340.7998046875,12322300
77,2020-04-27,9462.150390625,9544.2001953125,9419.2001953125,9427.75,10229200
78,2020-04-28,9545.0498046875,9582.400390625,9434.150390625,9570.599609375,11672900
79,2020-04-29,9710.7001953125,9754.150390625,9561.5,9576.75,13833300
80,2020-04-30,10006.900390625,10031.9501953125,9883.5498046875,9906.0498046875,16438000
81,2020-05-04,9454.0498046875,9683.25,9430.349609375,9682.650390625,14240600
82,2020-05-05,9358.900390625,9615.7998046875,9344.5498046875,9591.7001953125,12200000
83,2020-05-06,9428.5498046875,9489.25,9266.099609375,9379.349609375,14553900
84,2020-05-07,9351.4501953125,9437.7998046875,9335.5,9394.25,10767100
85,2020-05-08,9408.650390625,9528.349609375,9395.4501953125,9522.650390625,0
86,2020-05-11,9411.7001953125,9596.7998046875,9393.4501953125,9505.9501953125,19170000
87,2020-05-12,9372.25,9415.0498046875,9218.4501953125,9343.599609375,16488200
88,2020-05-13,9552.650390625,9752.4501953125,9518.7998046875,9752.349609375,17100700
89,2020-05-14,9333.099609375,9465.849609375,9310.0498046875,9396.849609375,11709500
90,2020-05-15,9320.599609375,9372.0498046875,9240.9501953125,9371.900390625,10803400
91,2020-05-18,9004.400390625,9340.0,8988.9501953125,9339.900390625,14417500
92,2020-05-19,9060.150390625,9209.25,9036.0498046875,9140.9501953125,19156100
93,2020-05-20,9249.150390625,9276.599609375,9055.2001953125,9069.7001953125,13588400
94,2020-05-21,9299.7998046875,9366.75,9243.7998046875,9265.75,13350700
95,2020-05-22,9226.7998046875,9344.0498046875,9165.4501953125,9263.25,13186000
96,2020-05-26,9219.599609375,9341.400390625,9187.7998046875,9284.349609375,11419400
97,2020-05-27,9471.599609375,9488.349609375,9186.7001953125,9267.75,12346400
98,2020-05-28,9648.2001953125,9669.0498046875,9492.75,9519.7001953125,17012800
99,2020-05-29,9759.4501953125,9777.099609375,9542.5498046875,9584.0498046875,39474900
100,2020-06-01,9996.400390625,10093.150390625,9882.7001953125,9900.7001953125,17918200
101,2020-06-02,10139.75,10153.849609375,9998.400390625,10051.2001953125,21387800
102,2020-06-03,10220.25,10336.650390625,10194.0498046875,10266.900390625,22155100
103,2020-06-04,10198.0,10293.349609375,10108.5,10219.75,21089800
104,2020-06-05,10324.150390625,10357.5,10213.849609375,10265.7001953125,32703300
105,2020-06-08,10346.7001953125,10506.2998046875,10298.650390625,10506.25,34714300
106,2020-06-09,10231.25,10472.7998046875,10202.7001953125,10367.75,27883300
107,2020-06-10,10291.7001953125,10322.099609375,10211.5498046875,10255.4501953125,21448400
108,2020-06-11,10082.099609375,10297.9501953125,10066.599609375,10271.650390625,33711400
109,2020-06-12,10158.2998046875,10180.7998046875,9719.650390625,9720.5498046875,26764100
110,2020-06-15,10005.7998046875,10141.150390625,9924.099609375,10113.400390625,0
111,2020-06-16,10097.349609375,10230.599609375,9917.400390625,10200.4501953125,0
112,2020-06-17,10069.75,10186.150390625,10020.9501953125,10060.150390625,0
113,2020-06-18,10258.150390625,10276.900390625,10033.150390625,10051.4501953125,0
114,2020-06-19,10407.75,10434.599609375,10246.75,10289.0,0
115,2020-06-22,10494.349609375,10568.75,10453.099609375,10487.2001953125,23679500
116,2020-06-23,10660.7998046875,10674.400390625,10491.5,10534.9501953125,15657200
117,2020-06-24,10499.900390625,10753.599609375,10474.5498046875,10724.9501953125,19234100
118,2020-06-25,10486.5498046875,10558.4501953125,10392.7001953125,10431.0498046875,20590500
119,2020-06-26,10570.9501953125,10607.0498046875,10505.2001953125,10577.349609375,21057600
120,2020-06-29,10496.849609375,10520.9501953125,10414.5,10506.7001953125,7494400
121,2020-06-30,10486.900390625,10587.099609375,10452.5,10566.7998046875,7490100
122,2020-07-01,10598.900390625,10615.150390625,10482.349609375,10511.900390625,7810600
123,2020-07-02,10716.099609375,10757.7998046875,10650.2998046875,10656.4501953125,8435900
124,2020-07-03,10776.2998046875,10797.099609375,10732.4501953125,10780.650390625,7882100
125,2020-07-06,10919.25,10963.7998046875,10859.25,10887.7998046875,7806900
126,2020-07-07,10958.0,10972.650390625,10847.2998046875,10958.5,9025100
127,2020-07-08,10870.9501953125,11006.849609375,10842.5498046875,10979.400390625,11147000
128,2020-07-09,10962.7001953125,10984.599609375,10898.849609375,10918.849609375,8332100
129,2020-07-10,10919.7001953125,10975.7998046875,10868.75,10918.5,8597600
130,2020-07-13,10953.75,11036.0498046875,10902.4501953125,11001.0498046875,7430100
131,2020-07-14,10768.599609375,10911.0,10725.7001953125,10906.25,7429200
132,2020-07-15,10769.599609375,10974.400390625,10730.7998046875,10859.2998046875,9027300
133,2020-07-16,10879.900390625,10893.7998046875,10734.400390625,10852.2998046875,8567200
134,2020-07-17,11045.849609375,11074.7998046875,10893.150390625,10895.5,8691500
135,2020-07-20,11159.4501953125,11174.349609375,11094.0498046875,11138.5,7220900
136,2020-07-21,11283.900390625,11300.900390625,11244.650390625,11261.2998046875,9943400
137,2020-07-22,11249.4501953125,11355.0,11173.9501953125,11348.9501953125,9725300
138,2020-07-23,11334.2998046875,11356.150390625,11225.4501953125,11255.599609375,7892500
139,2020-07-24,11297.75,11326.9501953125,11202.2001953125,11270.7998046875,8515500
140,2020-07-27,11231.2998046875,11328.900390625,11188.25,11328.900390625,7780000
141,2020-07-28,11388.400390625,11404.5,11253.150390625,11255.0498046875,8586900
142,2020-07-29,11310.849609375,11428.150390625,11258.7998046875,11369.5498046875,8001700
143,2020-07-30,11231.2998046875,11403.9501953125,11207.900390625,11361.9501953125,8960400
144,2020-07-31,11222.9501953125,11286.2001953125,11177.099609375,11269.25,8575500
145,2020-08-03,11056.0,11208.9501953125,11046.9501953125,11208.5498046875,9824000
146,2020-08-04,11244.099609375,11258.849609375,11074.0498046875,11113.650390625,0
147,2020-08-05,11248.400390625,11368.400390625,11213.25,11304.400390625,8680100
148,2020-08-06,11345.4501953125,11396.150390625,11278.150390625,11329.5,8256600
149,2020-08-07,11361.400390625,11377.150390625,11297.150390625,11337.2001953125,6809200
150,2020-08-10,11433.0,11491.9501953125,11401.5498046875,11426.2998046875,7469800
151,2020-08-11,11471.25,11531.5,11455.9501953125,11486.150390625,8583900
152,2020-08-12,11458.25,11470.900390625,11389.7001953125,11441.0498046875,9549800
153,2020-08-13,11458.900390625,11512.650390625,11429.25,11488.099609375,8147300
154,2020-08-14,11337.5498046875,11525.9501953125,11269.400390625,11511.400390625,9131300
